"date","temp","is_forced_heatwave","doy","thresh90","above90","group","is_heatwave"
2010-01-01,11.0635617723848,FALSE,1,16.4469315388531,FALSE,1,FALSE
2010-01-02,14.1039836686695,FALSE,2,16.3911206837862,FALSE,1,FALSE
2010-01-03,15.788826968349,FALSE,3,15.8472848994837,FALSE,1,FALSE
2010-01-04,8.99882014933674,FALSE,4,14.9546728424419,FALSE,1,FALSE
2010-01-05,14.6182526676972,FALSE,5,15.3158486857643,FALSE,1,FALSE
2010-01-06,14.8414860663147,FALSE,6,15.1425919414572,FALSE,1,FALSE
2010-01-07,12.7489161217339,FALSE,7,16.467521350121,FALSE,1,FALSE
2010-01-08,12.8738732970677,FALSE,8,15.7636807533175,FALSE,1,FALSE
2010-01-09,12.9067624237868,FALSE,9,15.13178298099,FALSE,1,FALSE
2010-01-10,12.3239785390501,FALSE,10,17.0647828961947,FALSE,1,FALSE
2010-01-11,13.2179853973924,FALSE,11,17.1618435578011,FALSE,1,FALSE
2010-01-12,12.2439142137886,FALSE,12,16.3047637683806,FALSE,1,FALSE
2010-01-13,12.7565665006633,FALSE,13,17.1853011024404,FALSE,1,FALSE
2010-01-14,14.5065213252562,FALSE,14,15.9267024676522,FALSE,1,FALSE
2010-01-15,16.3653347903364,FALSE,15,17.1041348446077,FALSE,1,FALSE
2010-01-16,14.2948035153581,FALSE,16,15.1958517984183,FALSE,1,FALSE
2010-01-17,13.5627392165044,FALSE,17,17.4482847765053,FALSE,1,FALSE
2010-01-18,12.8321776970577,FALSE,18,16.419938115577,FALSE,1,FALSE
2010-01-19,13.0505322511558,FALSE,19,17.5441265506206,FALSE,1,FALSE
2010-01-20,19.6274194168731,FALSE,20,17.196114048989,TRUE,2,FALSE
2010-01-21,15.1354341620241,FALSE,21,17.9193083660562,FALSE,3,FALSE
2010-01-22,13.9580977830989,FALSE,22,16.057701870551,FALSE,3,FALSE
2010-01-23,14.1313558657083,FALSE,23,17.7274379174046,FALSE,3,FALSE
2010-01-24,16.0054485743414,FALSE,24,17.500054725949,FALSE,3,FALSE
2010-01-25,13.7735479567525,FALSE,25,17.3639470020401,FALSE,3,FALSE
2010-01-26,12.340261331098,FALSE,26,18.481694187112,FALSE,3,FALSE
2010-01-27,16.4628910228524,FALSE,27,17.7537245707265,FALSE,3,FALSE
2010-01-28,13.3438624777788,FALSE,28,17.7524756566586,FALSE,3,FALSE
2010-01-29,15.4398360493251,FALSE,29,18.6994652145836,FALSE,3,FALSE
2010-01-30,13.6783551989325,FALSE,30,17.249534882198,FALSE,3,FALSE
2010-01-31,17.8362429704848,FALSE,31,17.9908433232226,FALSE,3,FALSE
2010-02-01,14.763165574084,FALSE,32,16.6819166558253,FALSE,3,FALSE
2010-02-02,14.3795343830083,FALSE,33,17.8042286215795,FALSE,3,FALSE
2010-02-03,14.88136817167,FALSE,34,19.3836491107932,FALSE,3,FALSE
2010-02-04,12.7126201741071,FALSE,35,17.2453322302287,FALSE,3,FALSE
2010-02-05,13.7239878100767,FALSE,36,19.0024438301179,FALSE,3,FALSE
2010-02-06,11.789103526391,FALSE,37,19.3211797790616,FALSE,3,FALSE
2010-02-07,13.5587284195824,FALSE,38,19.4043086082879,FALSE,3,FALSE
